"","meanDiff","tstat","pval","qval","bonf","meanControl","nearestGene","nearestRefseq","nearestGeneDist","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits"
"cg00699235",-0.0213350599619971,-6.41880115870556,7.35129280647272e-10,9.95834045389104e-07,0.000335596073296128,0.0969848776526023,"MCRS1","NM_001012300",-307,"MCRS1","NM_001012300","promoter","promoter",307,NA,NA,NA,15,NA,"-",9825,8088,"10445",2267
"cg09133386",-0.01797842475335,-6.41783230044173,7.39127652258582e-10,9.982881121761e-07,0.000337421381915522,0.113606011947671,"E2F3","NM_001243076",0,"E2F3","NM_001243076","inside intron","inside",278,"inside intron",-124,1,7,"inside transcription region","+",90035,86615,"1871",12032
"cg07880104",-0.00934883974821864,-6.41686540964317,7.43139183592672e-10,1.00074542218124e-06,0.000339252698119442,0.069746665813325,"RABGEF1","NM_001287060",-33524,"RABGEF1","NM_001287060","downstream","downstream",216104,NA,NA,NA,13,NA,"+",182580,25457,"27342",20646
"cg21571665",-0.0118678770712882,-6.41391838166528,7.55498394658594e-10,1.01229534156712e-06,0.000344894838640779,0.0969846839972917,"ZNF410","NM_001242924",0,"ZNF410","NM_001242924","inside exon","inside",206,"inside exon",0,1,11,"5' UTR","+",45673,39365,"57862",40961
"cg19863630",-0.0137744025778262,-6.41376411341938,7.56150890499042e-10,1.01229534156712e-06,0.000345192711474389,0.111217271670826,"UBQLN4","NM_001304342",-426,"UBQLN4","NM_001304342","promoter","promoter",426,NA,NA,NA,11,NA,"-",18424,16723,"56893",38993
"cg25181941",-0.0225134709191561,-6.41091838831091,7.68286913280668e-10,1.02553498141081e-06,0.000350732963642498,0.13220630287157,"TUBG2","NM_016437",5538,"TUBG2","NM_016437","upstream","upstream",5538,NA,NA,NA,11,NA,"+",7758,7296,"27175",20363
"cg06780705",-0.0135829084665592,-6.40940213613929,7.74831059385643e-10,1.03125496038868e-06,0.000353720451413318,0.106496015099767,"SOGA3","NM_001012279",0,"SOGA3","NM_001012279","inside exon","inside",3769,"inside exon",0,2,12,"inside transcription region","-",80949,43333,"387104",26539
"cg03732293",-0.0117800554332921,-6.40867372924781,7.77994288820796e-10,1.03245496154781e-06,0.000355164506772448,0.0724412037617229,"AXDND1","NM_144696",0,"AXDND1","NM_144696","inside exon","inside",232,"inside exon",0,1,26,"5' UTR","+",189015,188009,"126859",6861
"cg16614940",-0.0235500588496432,-6.40701898602775,7.8522746799454e-10,1.03487781174459e-06,0.000358466547096592,0.125577459351698,"APPBP2","NM_001282476",0,"APPBP2","NM_001282476","inside intron","inside",718,"inside intron",292,1,12,"inside transcription region","-",83060,78226,"10513",2495
"cg13369624",-0.017128071521669,-6.40677496124065,7.86299713527135e-10,1.03487781174459e-06,0.000358956041121413,0.0773267691806321,"SAP18","NM_005870",195,"SAP18","NM_005870","promoter","promoter",195,NA,NA,NA,4,NA,"+",8571,6789,"10284",1785
"cg18652941",-0.0334442962513306,-6.406701961238,7.86620754886222e-10,1.03487781174459e-06,0.000359102600675374,0.102403249310037,"CD44","NM_000610",0,"CD44","NM_000610","inside exon","inside",475,"inside exon",0,1,8,"inside transcription region","+",93532,90029,"960",60267
"cg15770728",-0.0125411637353018,-6.40534955160466,7.92591741315395e-10,1.03766455936098e-06,0.000361828433603115,0.121125630160089,"RBBP8","NM_002894",175,"RBBP8","NM_002894","promoter","promoter",175,NA,NA,NA,19,NA,"+",93154,89388,"5932",41678
"cg19951443",-0.0123396888086198,-6.40498448891384,7.9421112966217e-10,1.03766455936098e-06,0.000362567705435466,0.0704099266745963,"PLGRKT","NM_018465",0,"PLGRKT","NM_018465","inside intron","inside",192478,"inside intron",-898,4,8,"5' UTR","-",272104,73738,"55848",37997
"cg10352719",-0.029396983247181,-6.4046814036409,7.95558058097671e-10,1.03766455936098e-06,0.000363182595776342,0.0958064368836958,"NOP9","NM_001286367",0,"NOP9","NM_001286367","inside exon","inside",306,"inside exon",0,1,10,"inside transcription region","+",5276,5140,"161424",10572
"cg01232492",-0.011877740340671,-6.40299145185362,8.03109504804167e-10,1.04452971329534e-06,0.000366629929366665,0.0623677411760608,"NCEH1","NM_001146276",0,"NCEH1","NM_001146276","inside exon","inside",8,"inside exon",0,1,4,"5' UTR","-",80573,12185,"57552",40305
"cg25789201",-0.0198057874213352,-6.39900869194218,8.21185593481907e-10,1.06500539442388e-06,0.000374881898837206,0.0969123625321596,"POM121","NM_001257190",0,"POM121","NM_001257190","inside exon","inside",143,"inside exon",0,1,11,"inside transcription region","+",18401,18400,"9883",61340
"cg16998537",-0.0242544574855862,-6.39847142384394,8.23654393993015e-10,1.06518112851256e-06,0.000376008938364933,0.0992468568875042,"EYA2","NM_005244",76,"EYA2","NM_005244","promoter","promoter",76,NA,NA,NA,16,NA,"+",294229,198131,"2139",13426
"cg21869055",-0.0227725878209779,-6.39690539612245,8.30892082824145e-10,1.06802881909205e-06,0.000379313037406299,0.109700996553801,"KLK10","NM_001077500",0,"KLK10","NM_001077500","inside intron","inside",977,"inside intron",-55,2,6,"5' UTR","-",7431,4330,"5655",38753
"cg08491025",-0.0149899182252444,-6.3966305773283,8.32168631134981e-10,1.06802881909205e-06,0.000379895798305324,0.0830319821218791,"SLC16A1","NM_001166496",0,"SLC16A1","NM_001166496","inside exon","inside",176,"inside exon",0,1,5,"5' UTR","-",44505,15417,"6566",45263
"cg26209516",-0.0178426340854151,-6.39647868856198,8.32874988437944e-10,1.06802881909205e-06,0.000380218259596771,0.118119593731428,"SSC5D","NM_001144950",0,"SSC5D","NM_001144950","inside intron","inside",15462,"inside intron",-2763,12,14,"inside transcription region","+",30596,30408,"284297",21413
"cg03969138",-0.0118847379948688,-6.39438711161958,8.42661897562712e-10,1.07550554080957e-06,0.000384686110842047,0.0564801801153687,"RIOK1","NM_031480",0,"RIOK1","NM_031480","inside exon","inside",101,"inside exon",0,1,17,"5' UTR","+",28208,27438,"83732",53542
"cg15645079",-0.010969846955083,-6.39383398007674,8.45268926104994e-10,1.07550554080957e-06,0.000385876253262969,0.0737896431454068,"UBOX5","NM_001267584",-13,"UBOX5","NM_001267584","promoter","promoter",13,NA,NA,NA,5,NA,"-",52337,13259,"22888",14744
"cg24708545",-0.0282319415039285,-6.39372716876402,8.45773261989547e-10,1.07550554080957e-06,0.000386106489150634,0.0960969312405582,"ZNF347","NM_001172674",-401,"ZNF347","NM_001172674","promoter","promoter",401,NA,NA,NA,5,NA,"-",20365,13439,"84671",54905
"cg07989514",-0.00762942755285915,-6.392639717721,8.50924767902088e-10,1.07789289553618e-06,0.000388458218569286,0.0860535919869093,"IRF2BPL","NM_024496",-136,"IRF2BPL","NM_024496","promoter","promoter",136,NA,NA,NA,1,NA,"-",4156,2390,"64207",43527
"cg20991612",-0.0217099460281461,-6.39233517750999,8.52372956057248e-10,1.07789289553618e-06,0.000389119335288562,0.107649796504243,"FAM183A","NM_001101376",0,"FAM183A","NM_001101376","inside exon","inside",12,"inside exon",0,1,4,"5' UTR","+",8473,8361,"440585",29189
"cg26719024",-0.0143393567440528,-6.39134778077769,8.57085004688775e-10,1.07912885081494e-06,0.000391270446745487,0.0904244635063852,"PDCD11","NM_014976",0,"PDCD11","NM_014976","inside exon","inside",32,"inside exon",0,1,36,"5' UTR","+",49607,47122,"22984",15003
"cg01335042",-0.0243096881741477,-6.39114037616584,8.58078023727306e-10,1.07912885081494e-06,0.000391723772845824,0.089193166580767,"HMG20B","NM_006339",427,"HMG20B","NM_006339","promoter","promoter",427,NA,NA,NA,3,NA,"+",1641,667,"10362",2023
"cg03352409",-0.0130266789399748,-6.38953509335148,8.65802137111666e-10,1.08585145884412e-06,0.000395249931019258,0.0820377451748469,"LZTR1","NM_006767",0,"LZTR1","NM_006767","inside intron","inside",2619,"inside intron",945,3,22,"inside transcription region","+",19575,17300,"8216",52977
"cg14490972",-0.0189923621655019,-6.38760364837736,8.7518611744723e-10,1.09461326036764e-06,0.000399533840034187,0.106710152487956,"POLR1C","NM_004875",0,"POLR1C","NM_004875","inside exon","inside",35,"inside exon",0,1,9,"5' UTR","+",12337,12245,"9533",60064
"cg01313514",-0.0193325178167312,-6.38574690152906,8.84301240924309e-10,1.10299183715322e-06,0.000403695012398079,0.110561761482256,"WNT3A","NM_033131",0,"WNT3A","NM_033131","inside intron","inside",193,"inside intron",-15,1,4,"inside transcription region","+",54249,52336,"89780",57236
"cg14634336",-0.0322471910400303,-6.38508562848674,8.87570002273999e-10,1.10405243718831e-06,0.00040518724444811,0.109002900087029,"REV3L","NM_001286431",0,"TRAF3IP2-AS1","NR_034108","inside exon","inside",129,"inside exon",0,1,2,"inside transcription region","+",118822,114417,"643749",43782
"cg12868349",-0.0366034603046226,-6.38345401948183,8.95686071373114e-10,1.11112047690422e-06,0.000408892335500755,0.0929243921800449,"LOC100133315","NR_029192",-101,"LOC100133315","NR_029192","promoter","promoter",101,NA,NA,NA,7,NA,"-",62938,57516,"100133315",301
"cg06202228",-0.0285137882028056,-6.38173888407341,9.04296139914108e-10,1.11269383079028e-06,0.000412822943720609,0.129782699170427,"MPDZ","NM_001261406",0,"MPDZ","NM_001261406","inside exon","inside",81,"inside exon",0,1,45,"5' UTR","-",173860,143350,"8777",56625
"cg21787291",-0.016578207432087,-6.38132611483853,9.06380358110085e-10,1.11269383079028e-06,0.000413774416421909,0.102022486979593,"NKAIN2","NM_001040214",0,"NKAIN2","NM_001040214","inside exon","inside",101,"inside exon",0,1,6,"5' UTR","+",1021717,1019029,"154215",10012
"cg15270419",-0.0331525097959522,-6.38116718987342,9.07184082877311e-10,1.11269383079028e-06,0.00041414132722657,0.138314515800615,"FAM188A","NM_024948",0,"FAM188A","NM_024948","inside intron","inside",807,"inside intron",492,1,14,"5' UTR","-",82344,58268,"80013",51422
"cg08964912",-0.0134652409617827,-6.37971783551155,9.14546190907143e-10,1.11269383079028e-06,0.000417502225249593,0.0760581937234675,"CABLES2","NM_031215",-440,"CABLES2","NM_031215","promoter","promoter",440,NA,NA,NA,10,NA,"-",18653,16305,"81928",52940
"cg11311296",-0.0313349558679379,-6.37970860981914,9.14593240805037e-10,1.11269383079028e-06,0.00041752370413963,0.110078504236002,"WBP4","NM_007187",0,"WBP4","NM_007187","inside intron","inside",300,"inside intron",-185,1,9,"inside transcription region","+",22442,21240,"11193",4504
"cg01215037",-0.0195716512512165,-6.37913773609639,9.17509252297298e-10,1.11269383079028e-06,0.000418854901293996,0.0940982697097864,"NOSIP","NM_001270960",-88,"NOSIP","NM_001270960","promoter","promoter",88,NA,NA,NA,10,NA,"-",25104,4940,"51070",31640
"cg16915619",-0.0250569058322012,-6.37913038083627,9.17546882286038e-10,1.11269383079028e-06,0.000418872079873046,0.0816907857858763,"ELL3","NM_025165",0,"ELL3","NM_025165","inside intron","inside",21485,"inside intron",-1107,8,17,"5' UTR","-",26520,2743,"80237",51814
"cg24098762",-0.0176210882568972,-6.37866761164694,9.19917487216042e-10,1.11269383079028e-06,0.000419954291841457,0.116608282237362,"CDC25C","NM_001287582",0,"CDC25C","NM_001287582","inside intron","inside",6372,"inside intron",-764,2,14,"inside transcription region","-",53085,52276,"995",61616
"cg02691355",-0.0133485105983236,-6.37853651384792,9.2059014725612e-10,1.11269383079028e-06,0.000420261369894333,0.0886182241651832,"TAF11","NM_001270488",0,"TAF11","NM_001270488","inside exon","inside",14,"inside exon",0,1,4,"5' UTR","-",10293,9293,"6882",46242
"cg11248668",-0.0115073965373166,-6.37655646855602,9.30808609151188e-10,1.11269383079028e-06,0.000424926230589436,0.101319188114282,"SLC35C1","NM_001145265",0,"SLC35C1","NM_001145265","inside intron","inside",870,"inside intron",-521,1,3,"5' UTR","+",8944,5494,"55343",36776
"cg15745921",-0.00945604534712666,-6.37652638129209,9.30964736451486e-10,1.11269383079028e-06,0.000424997504731677,0.062578065732472,"C1orf198","NM_001136494",0,"C1orf198","NM_001136494","inside intron","inside",1703,"inside intron",293,3,6,"inside transcription region","-",32470,28546,"84886",55268
"cg19516485",-0.0107055717075633,-6.37649570605412,9.31123941292789e-10,1.11269383079028e-06,0.000425070183811395,0.0701771734385649,"GUF1","NM_021927",56,"GUF1","NM_021927","promoter","promoter",56,NA,NA,NA,17,NA,"+",22264,20058,"60558",42221
"cg22203219",-0.0216338513568225,-6.37643276849941,9.31450671578135e-10,1.11269383079028e-06,0.000425219340434149,0.102964390231711,"IFFO1","NM_001039670",-86,"IFFO1","NM_001039670","promoter","promoter",86,NA,NA,NA,10,NA,"-",17122,15546,"25900",18520
"cg07367232",-0.0121805586472487,-6.37634346101136,9.31914490264828e-10,1.11269383079028e-06,0.000425431079694267,0.0696436641756117,"KCNAB3","NM_004732",0,"KCNAB3","NM_004732","inside exon","inside",6487,"inside exon",0,15,15,"3'UTR","-",7576,1709,"9196",58573
"cg01839850",-0.0194827739572043,-6.37594564858048,9.33983284965942e-10,1.11269383079028e-06,0.000426375511369657,0.0761386122265055,"ANKRD54","NM_138797",-42,"ANKRD54","NM_138797","promoter","promoter",42,NA,NA,NA,8,NA,"-",13491,12295,"129138",7141
"cg16580737",-0.0323353722540568,-6.37556780903737,9.3595238475896e-10,1.11269383079028e-06,0.000427274431023467,0.114653001052201,"MME","NM_000902",0,"MME","NM_000902","inside intron","inside",153,"inside intron",-43,1,23,"5' UTR","+",104082,96291,"4311",28829
"cg00400334",-0.0128698892975091,-6.3710681325183,9.59717757926183e-10,1.13798346188092e-06,0.000438123632824155,0.082453395108013,"ATOH8","NM_032827",0,"ATOH8","NM_032827","inside exon","inside",1053,"inside exon",0,1,3,"inside transcription region","+",37597,32700,"84913",55348
"cg18950693",-0.0201514113009317,-6.37028298031987,9.63924841076359e-10,1.14001093516656e-06,0.000440044220974292,0.150713622069019,"SMOC1","NM_001034852",0,"SMOC1","NM_001034852","inside intron","inside",795,"inside intron",-414,1,12,"inside transcription region","+",152969,150579,"64093",43376
"cg10815483",-0.0249587229974498,-6.36975504749232,9.66763834463983e-10,1.14041410429627e-06,0.000441340258362656,0.171328290283157,"LRRC75A","NM_001113567",0,"LRRC75A","NM_001113567","inside intron","inside",606,"inside intron",159,1,4,"inside transcription region","-",50186,48402,"388341",26686
"cg22880420",-0.0156949106011576,-6.36892566276599,9.71240482962964e-10,1.14274202731668e-06,0.000443383906598871,0.0616523184612177,"FAM98A","NM_001304538",-494,"FAM98A","NM_001304538","promoter","promoter",494,NA,NA,NA,8,NA,"-",15633,14445,"25940",18701
"cg19152518",-0.0124945618508294,-6.36678222603217,9.82904221787949e-10,1.15349242930869e-06,0.000448708555001082,0.122765005779037,"DENND5B","NM_144973",0,"DENND5B","NM_144973","inside exon","inside",95,"inside exon",0,1,9,"5' UTR","-",158641,157722,"160518",10492
"cg14374754",-0.0126454226984292,-6.36394756787268,9.98540602224424e-10,1.1675947224727e-06,0.000455846765943279,0.0995600056091343,"BARX1","NM_021570",0,"BARX1","NM_021570","inside exon","inside",3313,"inside exon",0,4,4,"3'UTR","-",3699,2982,"56033",38349
"cg08487038",-0.0307219619957506,-6.36367871866108,1.00003622347409e-09,1.1675947224727e-06,0.000456529536486827,0.137150639395871,"UHRF2","NM_152896",106,"UHRF2","NM_152896","promoter","promoter",106,NA,NA,NA,16,NA,"+",93900,92688,"115426",5488
"cg01364423",-0.00743790494836282,-6.36232897735983,1.00757818171877e-09,1.17339933283414e-06,0.000459972538470982,0.0713179095537164,"COA6","NM_001012985",89,"COA6","NM_001012985","promoter","promoter",89,NA,NA,NA,3,NA,"+",10581,9572,"388753",26784
"cg06391548",-0.0109064566399322,-6.36142247913133,1.01267472646707e-09,1.17449625245666e-06,0.000462299177403664,0.102968529849451,"ASF1B","NM_018154",0,"ASF1B","NM_018154","inside intron","inside",299,"inside intron",18,1,4,"inside transcription region","-",17119,15997,"55723",37555
"cg25582303",-0.0148992136779848,-6.36124675724955,1.01366559871882e-09,1.17449625245666e-06,0.000462751523467925,0.116950555959623,NA,NA,-2610,NA,NA,"downstream","downstream",21479,NA,NA,NA,16,NA,"+",18869,16949,"728936",47758
"cg05621273",-0.0151859345181309,-6.35998032761935,1.02083501469614e-09,1.17968764274657e-06,0.000466024455063977,0.0787130618545092,"ATMIN","NM_001300728",0,"ATMIN","NM_001300728","inside intron","inside",692,"inside intron",-338,1,4,"inside transcription region","+",11493,9099,"23300",16140
"cg27220968",-0.0134302493830036,-6.35954439849509,1.02331435584013e-09,1.17968764274657e-06,0.000467156306527643,0.0608889727243703,"ACHE","NM_000665",0,"ACHE","NM_000665","inside intron","inside",815,"inside intron",449,1,2,"inside transcription region","-",3753,3724,"43",28799
"cg26750139",-0.0244216039070335,-6.35418944754059,1.05425686804725e-09,1.20708532706316e-06,0.000481281965602853,0.104177585461688,"ACBD6","NM_032360",0,"ACBD6","NM_032360","inside exon","inside",773,"inside exon",0,1,8,"inside transcription region","-",214670,213903,"84320",54425
"cg25658980",-0.00925409303446008,-6.35387858196137,1.05608106550747e-09,1.20708532706316e-06,0.000482114735458013,0.0857173105493918,"PIH1D1","NM_017916",0,"PIH1D1","NM_017916","inside exon","inside",111,"inside exon",0,1,3,"5' UTR","-",2766,2362,"55011",35700
"cg02932736",-0.0119734381114817,-6.35362539003218,1.05756911496365e-09,1.20708532706316e-06,0.0004827940493794,0.0767509214096435,"SERBP1","NM_001018067",-71,"SERBP1","NM_001018067","promoter","promoter",71,NA,NA,NA,8,NA,"-",22630,17093,"26135",19220
"cg22308759",-0.0109720245344936,-6.35321083374766,1.06000997126371e-09,1.20708532706316e-06,0.000483908332011509,0.0685945397545434,"VEZF1","NM_007146",0,"VEZF1","NM_007146","inside intron","inside",687,"inside intron",511,1,6,"inside transcription region","-",16705,13638,"7716",48916
"cg10083236",-0.0145427021535451,-6.35316145822139,1.06030105638246e-09,1.20708532706316e-06,0.000484041216152326,0.0622045302443381,"FAM98A","NM_001304538",-157,"FAM98A","NM_001304538","promoter","promoter",157,NA,NA,NA,8,NA,"-",15633,14445,"25940",18701
"cg03624415",-0.0131531350758331,-6.35201925341011,1.06705666694024e-09,1.21175432884301e-06,0.000487125240194888,0.0934679360062643,"OAZ2","NM_001301302",-37,"OAZ2","NM_001301302","promoter","promoter",37,NA,NA,NA,6,NA,"-",15689,14344,"4947",30793
"cg20466761",-0.0150998864092938,-6.35049519185246,1.07613658766413e-09,1.21903310680971e-06,0.000491270342044313,0.103264123743373,"WRNIP1","NM_020135",0,"WRNIP1","NM_020135","inside exon","inside",947,"inside exon",0,1,7,"inside transcription region","+",20313,19659,"56897",39009
"cg06843240",-0.0335459910402454,-6.34979949669142,1.08030649753697e-09,1.22039731460572e-06,0.000493173960110096,0.118790310112041,"SPSB1","NM_025106",-59371,"SPSB1","NM_025106","downstream","downstream",136020,NA,NA,NA,3,NA,"+",76649,11683,"80176",51639
"cg08793459",-0.0321717558163741,-6.34938911466489,1.08277370562954e-09,1.22039731460572e-06,0.000494300272678057,0.0878210457707829,"PTRH2","NM_001015509",0,"PTRH2","NM_001015509","inside intron","inside",209,"inside intron",84,1,2,"5' UTR","-",10189,539,"51651",33055
"cg18252309",-0.0101110289613785,-6.34895977749558,1.08536078869588e-09,1.22039731460572e-06,0.000495481309729923,0.119081885074126,"DPP6","NM_001039350",552,"DPP6","NM_001039350","promoter","promoter",552,NA,NA,NA,26,NA,"+",1101576,1099421,"1804",11864
"cg23667933",-0.0182721839545382,-6.34782122705878,1.09225082280194e-09,1.22512702670708e-06,0.000498626699869781,0.115020287658643,"FXN","NM_000144",0,"FXN","NM_000144","inside exon","inside",240,"inside exon",0,1,5,"inside transcription region","+",64615,64151,"2395",17349
"cg12790134",-0.0116536670101399,-6.34536601259678,1.10725513162123e-09,1.23550862874257e-06,0.000505476361901801,0.0602372771367065,"VCPIP1","NM_025054",0,"VCPIP1","NM_025054","inside exon","inside",665,"inside exon",0,1,3,"inside transcription region","-",36964,32457,"80124",51549
"cg05743054",-0.00910040108822482,-6.34536576006697,1.10725668523402e-09,1.23550862874257e-06,0.00050547707114624,0.0782398855250415,"MLF1","NM_001130156",50,"MLF1","NM_001130156","promoter","promoter",50,NA,NA,NA,9,NA,"+",35296,12740,"4291",28744
"cg05583398",-0.021474868121428,-6.34498110261463,1.10962565750472e-09,1.23550862874257e-06,0.000506558537784454,0.0966152069207037,"LRRC3B","NM_052953",119,"LRRC3B","NM_052953","promoter","promoter",119,NA,NA,NA,2,NA,"+",87965,779,"116135",5612
"cg13516796",-0.0278399533149117,-6.34416538203457,1.11466586404185e-09,1.23810087005191e-06,0.000508859457591337,0.0920859650036526,"ALG1","NM_019109",0,"ALG1","NM_019109","inside intron","inside",401,"inside intron",-36,1,13,"5' UTR","+",15530,11681,"56052",38359
"cg25154432",-0.0099148153506709,-6.34318675699843,1.12074227404901e-09,1.24182868386634e-06,0.000511633417752934,0.0662300668770402,"ZFYVE16","NM_001105251",113,"ZFYVE16","NM_001105251","promoter","promoter",113,NA,NA,NA,4,NA,"+",32357,5895,"9765",60915
"cg01337813",-0.0245775762233272,-6.34068690907201,1.13641207311045e-09,1.25026271138784e-06,0.000518786884731869,0.238534723228244,"LEP","NM_000230",72819,"LEP","NM_000230","upstream","upstream",72819,NA,NA,NA,3,NA,"+",16351,2744,"3952",27311
"cg07077115",-0.0170981621870023,-6.34057418094641,1.13712372883259e-09,1.25026271138784e-06,0.00051911176482055,0.0870800403245758,"MTIF3","NM_001166261",0,"MTIF3","NM_001166261","inside intron","inside",310,"inside intron",216,1,6,"5' UTR","-",14963,4773,"219402",13589
"cg23725592",-0.0145164588731258,-6.34004495816767,1.14047057532114e-09,1.25026271138784e-06,0.000520639643751579,0.0986451060139461,"PTK2B","NM_004103",0,"PTK2B","NM_004103","inside exon","inside",68,"inside exon",0,1,36,"5' UTR","+",147909,60924,"2185",13538
"cg11099291",-0.0102255308048538,-6.33954228834424,1.14365844671512e-09,1.25026271138784e-06,0.000522094948485259,0.0664667622520636,"WDR81","NM_001163673",0,"WDR81","NM_001163673","inside intron","inside",227,"inside intron",-116,1,10,"inside transcription region","+",22076,21109,"124997",6619
"cg04279973",-0.0141818159262021,-6.33944929181167,1.14424917701463e-09,1.25026271138784e-06,0.000522364624546481,0.0913241364090115,"PRKCB","NM_002738",332,"PRKCB","NM_002738","promoter","promoter",332,NA,NA,NA,17,NA,"+",384632,383937,"5579",37834
"cg13574271",-0.0173159097088234,-6.33936478046251,1.14478626755452e-09,1.25026271138784e-06,0.000522609813360118,0.131360245901237,"POLG","NM_001126131",-64747,"POLG","NM_001126131","upstream","upstream",64747,NA,NA,NA,23,NA,"-",18490,17003,"5428",34260
"cg24999518",-0.0221970756918636,-6.33828178161566,1.1516909243218e-09,1.25249739569662e-06,0.000525761878934917,0.102625006203391,"NHLH2","NM_001111061",0,"NHLH2","NM_001111061","inside intron","inside",2668,"inside intron",-77,3,3,"5' UTR","-",4748,407,"4808",30372
"cg19969873",-0.0131776658470754,-6.33797887433631,1.15362940947495e-09,1.25249739569662e-06,0.000526646822607637,0.110666181607698,"NPPC","NM_024409",-45,"NPPC","NM_024409","promoter","promoter",45,NA,NA,NA,3,NA,"-",4233,824,"4880",30557
"cg04539944",-0.0226055337904594,-6.33775513898434,1.15506328097617e-09,1.25249739569662e-06,0.000527301403588276,0.111886186454123,"HES1","NM_005524",1572,"HES1","NM_005524","promoter","promoter",1572,NA,NA,NA,2,NA,"+",1142,532,"3280",24229
"cg13883202",-0.0234640927085393,-6.3356688038956,1.1685185972717e-09,1.26408514311918e-06,0.000533443930396294,0.094308727559938,"PTPN23","NM_001304482",161,"PTPN23","NM_001304482","promoter","promoter",161,NA,NA,NA,19,NA,"+",30685,30589,"25930",18672
"cg20376447",-0.0287194124058485,-6.33326011629339,1.18424415413958e-09,1.27785984780643e-06,0.000540622851538722,0.119775060686581,"MED13","NM_005121",-803,"MED13","NM_005121","promoter","promoter",803,NA,NA,NA,30,NA,"-",122677,118737,"9969",61664
"cg13452718",-0.0271195385083607,-6.33286397083388,1.18685026597255e-09,1.27785984780643e-06,0.000541812575469925,0.08397063114497,"HNRNPR","NM_001102397",-34,"HNRNPR","NM_001102397","promoter","promoter",34,NA,NA,NA,11,NA,"-",34577,30554,"10236",1643
"cg13293721",-0.0138619511302654,-6.33212959369621,1.19169638448498e-09,1.28005856840093e-06,0.000544024891570393,0.0784894113060426,"RPIA","NM_144563",438,"RPIA","NM_144563","promoter","promoter",438,NA,NA,NA,9,NA,"+",59276,58378,"22934",14919
"cg25632114",-0.0256641043959193,-6.33162607721325,1.19503027673485e-09,1.28062642423253e-06,0.000545546856723056,0.0948736263307313,"DPY19L4","NM_181787",0,"DPY19L4","NM_181787","inside intron","inside",611,"inside intron",-471,1,19,"inside transcription region","+",73973,69911,"286148",21893
"cg03387256",-0.00879860680430356,-6.33064140451109,1.20157647236538e-09,1.28462594877971e-06,0.000548535280128935,0.0758259746041633,"ACTA2","NM_001141945",0,"ACTA2","NM_001141945","inside exon","inside",249,"inside exon",0,1,9,"5' UTR","-",56316,13707,"59",41527
"cg10653163",-0.015091991075819,-6.33002118586087,1.20571778670014e-09,1.28604169149496e-06,0.000550425843959842,0.0652610831493659,"CORO1C","NM_001105237",0,"CORO1C","NM_001105237","inside intron","inside",1267,"inside intron",1145,1,11,"5' UTR","-",86441,53915,"23603",17073
"cg09882587",-0.0264643328460022,-6.32793640999017,1.21974111484566e-09,1.29796660970056e-06,0.000556827675561539,0.109323342737209,"ERAP1","NM_001040458",0,"ERAP1","NM_001040458","inside intron","inside",6079,"inside intron",-4122,2,19,"5' UTR","-",39660,27529,"51752",33250
"cg09747578",-0.0146655827775532,-6.32731421371677,1.22395725631755e-09,1.29942418361231e-06,0.000558752398953294,0.0639544649603771,"LRRC41","NM_006369",-38,"LRRC41","NM_006369","promoter","promoter",38,NA,NA,NA,10,NA,"-",24966,24457,"10489",2425
"cg03276813",-0.0164655929417231,-6.32545942270909,1.23661074654653e-09,1.30981179057586e-06,0.000564528881738195,0.0667333498738351,"SSFA2","NM_001130445",0,"SSFA2","NM_001130445","inside intron","inside",685,"inside intron",-152,1,16,"5' UTR","+",38992,29196,"6744",45888
"cg26563932",-0.0285300108674496,-6.32405031261225,1.2463094667322e-09,1.3170288740424e-06,0.000568956473586319,0.118787600683991,"ZNF599","NM_001007247",0,"ZNF599","NM_001007247","inside intron","inside",649,"inside intron",243,1,4,"inside transcription region","-",10355,7246,"148103",9131
"cg09312336",0.031484639016111,6.32287932919196,1.25442592781569e-09,1.32200747492816e-06,0.000572661743584926,0.853956313238252,"MGAT3","NM_001098270",0,"MGAT3","NM_001098270","inside exon","inside",1526,"inside exon",0,1,1,"inside transcription region","+",4970,1601,"4248",28565
"cg24077501",-0.0150206750602252,-6.3225364260406,1.25681249848049e-09,1.32200747492816e-06,0.000573751244118823,0.0799651206536435,"AVL9","NM_015060",0,"AVL9","NM_015060","inside intron","inside",461693,"inside intron",72352,11,12,"inside transcription region","+",543860,543194,"23080",15346
"cg16827186",-0.0250722508225454,-6.32034698511386,1.27215613190608e-09,1.33507083274676e-06,0.00058075581224484,0.112491495077155,"AMZ2","NM_001033569",151,"AMZ2","NM_001033569","promoter","promoter",151,NA,NA,NA,8,NA,"+",9160,6781,"51321",32290
"cg01880437",-0.0224920810201417,-6.31938442446844,1.27895977851161e-09,1.33812428164111e-06,0.000583861765367671,0.0893854520707291,"RBPJ","NM_005349",0,"RBPJ","NM_005349","inside intron","inside",541,"inside intron",-362,1,11,"inside transcription region","+",115420,111132,"3516",25261
"cg11136708",-0.00938918904450938,-6.31910689431478,1.28092805917283e-09,1.33812428164111e-06,0.000584760311077165,0.0638742939633607,"ZNF74","NM_001256523",87,"ZNF74","NM_001256523","promoter","promoter",87,NA,NA,NA,5,NA,"+",14348,6243,"7625",48765
