"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits","corrToExprs","corrToExprsTstat","corrToExprsPvalue","corrToExprsPvalueBonf"
"chr7",27199726,27199956,-0.160526125289421,0.802630626447104,169466,188647,188651,5,9,0,0,0,0,"HOXA9","NM_152739","downstream","downstream",5193,NA,NA,NA,2,NA,"-",3092,1854,"3205",24064,0.0350635229354972,0.551405586112889,0.581852132595085,1
"chr11",1483390,1483973,-0.160365912241559,0.801829561207794,30172,264731,264735,5,7,0,0,0,0,"BRSK2","NM_001256627","overlaps 3'","overlaps 3'",11573,"overlaps exon downstream",0,7,7,"3'UTR","+",12102,9583,"9024",57585,-0.576997669321591,-11.1028795826424,1.62239099609901e-23,1.05244503916943e-19
"chr19",13124776,13125281,-0.160365885992168,0.80182942996084,93608,417693,417697,5,10,0,0,0,0,"NFIX","NM_001271043","inside intron","inside",18192,"inside intron",10553,2,10,"inside transcription region","+",103026,94532,"4784",30287,-0.668771723051213,-14.1372262970667,1.11578381532411e-33,7.23808961000751e-30
"chr6",168785895,168785970,-0.267227160447606,0.801681481342817,166348,179904,179906,3,8,0,0,0,0,"SMOC2","NM_001166412","upstream","upstream",55861,NA,NA,NA,13,NA,"+",226843,225067,"64094",43377,0.455712600480591,8.04613940706018,3.54048495104726e-14,2.29671258774436e-10
"chr5",180018465,180018735,-0.114358499759717,0.800509498318022,154910,145763,145769,7,14,0,0,0,0,"SCGB3A1","NM_052863","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,3,"5' UTR","-",1382,1231,"92304",58760,0.290239074018012,4.76664949294846,3.19428017840637e-06,0.0207212955173221
"chr10",555545,556044,0.199997257705521,0.799989030822083,19684,239903,239906,4,16,0,0,0,0,"DIP2C","NM_014974","inside intron","inside",179564,"inside intron",-23074,2,37,"inside transcription region","-",415478,412253,"22982",14996,-0.241487152209407,-3.91101895892841,0.000118704793623354,0.7700379962347
"chr2",162279324,162280009,-0.199901751639753,0.799607006559011,109579,66310,66313,4,9,0,0,0,0,"TBR1","NM_006593","overlaps exon upstream","inside",4918,"overlaps exon upstream",0,5,5,"inside transcription region","+",7167,6012,"10716",3117,0.523535046364718,9.65722902072804,6.17387379625039e-19,4.00499193162763e-15
"chr8",29210790,29211078,-0.266452096294455,0.799356288883365,181589,215885,215887,3,7,0,0,0,0,"DUSP4","NM_001394","upstream","upstream",2523,NA,NA,NA,4,NA,"-",17688,13252,"1846",11989,0.446868739435931,7.85054455725674,1.24553908302964e-13,8.07981203161326e-10
"chr1",43833587,43833945,-0.133163149641388,0.798978897848329,6990,16984,16989,6,11,0,0,0,0,"ELOVL1","NM_001256399","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,7,"5' UTR","-",4677,1086,"64834",44458,0.12311058994834,1.94966598735296,0.052342985799237,1
"chr11",63766546,63767176,-0.266240839015315,0.798722517045945,34837,276187,276189,3,10,0,0,0,0,"MACROD1","NM_014067","covers exon(s)","inside",166409,"covers exon(s)",0,6,11,"inside transcription region","-",167555,167126,"28992",22202,0.299000227353118,4.92443538239131,1.54573202522226e-06,0.0100271636476168
"chr12",54446019,54446100,-0.266184188884589,0.798552566653767,44981,300059,300061,3,28,0,0,0,0,"HOXC4","NM_014620","inside intron","inside",35377,"inside intron",843,2,4,"5' UTR","+",39172,1282,"3221",24106,-0.5409092148105,-10.1072973525333,2.46037731536532e-20,1.59604676447748e-16
"chr17",73642080,73642547,0.159607839430986,0.79803919715493,86195,397563,397567,5,10,0,0,0,0,"RECQL5","NM_001003715","inside intron","inside",20722,"inside intron",4718,8,20,"inside transcription region","-",40344,39135,"9400",59566,0.29247402655462,4.80677368445161,2.66039630307557e-06,0.0172579908180512
"chr1",19992024,19992771,-0.159524195088197,0.797620975440985,3995,9683,9687,5,13,0,0,0,0,"HTR6","NM_000871","inside exon","inside",244,"inside exon",0,1,3,"overlaps 5' UTR","+",14275,13614,"3362",24395,-0.0836896177386326,-1.31991602247855,0.188080099924942,1
"chr11",126872615,126872863,-0.19912174445261,0.796486977810441,40268,289215,289218,4,11,0,0,0,0,"KIRREL3","NM_001161707","promoter","promoter",1849,NA,NA,NA,17,NA,"-",577370,575930,"84623",54806,0.343734066452878,5.75273618733456,2.57677775689186e-08,0.000167155573089575
"chr1",29587088,29587490,-0.159257046168107,0.796285230840537,5362,13142,13146,5,13,0,0,0,0,"PTPRU","NM_001195001","covers exon(s)","inside",24060,"covers exon(s)",0,7,30,"inside transcription region","+",90297,89016,"10076",1074,0.714188041132162,16.0358365785102,3.44608487890993e-40,2.23547526094887e-36
"chr10",134994186,134994455,-0.159159690150102,0.795798450750509,29467,262408,262412,5,10,0,0,0,0,"KNDC1","NM_152643","inside intron","inside",13498,"inside intron",2392,3,18,"inside transcription region","+",40020,39521,"85442",55869,-0.628092624530696,-12.6857228884977,9.37569470279031e-29,6.08201315370007e-25
"chr10",102986306,102986808,-0.132550477826727,0.795302866960364,26536,254861,254866,6,21,0,0,0,0,"LBX1","NM_006562","overlaps 3'","overlaps 3'",1909,"overlaps exon downstream",0,2,2,"3'UTR","-",1984,1545,"10660",2983,0.713505754671073,16.0046146426119,4.41049696404199e-40,2.86108938057404e-36
"chr4",42401056,42401610,-0.158794865678416,0.793974328392079,138762,110682,110686,5,21,0,0,0,0,"SHISA3","NM_001080505","inside intron","inside",1200,"inside intron",-705,1,2,"inside transcription region","+",4648,3394,"152573",9840,0.00201585640900923,0.0316817346920058,0.974751343259049,1
"chr1",17198526,17199384,-0.132128953726667,0.792773722360003,3537,8743,8748,6,8,0,0,0,0,"CROCC","NM_014675","inside intron","inside",131758,"inside intron",57396,2,9,"5' UTR","+",200961,10461,"9696",60680,-0.669220620105495,-14.1544078650995,9.74709209144316e-34,6.32293863971918e-30
"chr7",2774195,2774654,0.198088949537038,0.792355798148151,167843,184533,184536,4,7,0,0,0,0,"GNA12","NM_001282440","inside intron","inside",109305,"inside intron",-2810,3,3,"inside transcription region","-",116218,112980,"2768",20805,-0.0306701060959014,-0.482245420080097,0.63005695578256,1
"chr11",119019361,119019412,-0.264008555526947,0.792025666580841,39357,287361,287363,3,13,0,0,0,0,"ABCG4","NM_001142505","promoter","promoter",338,NA,NA,NA,15,NA,"+",13624,11140,"64137",43456,-0.410128786666463,-7.06741736726706,1.59356020390239e-11,1.03374250427148e-07
"chr13",31480304,31480979,-0.131995067132956,0.791970402797735,52021,316811,316816,6,12,0,0,0,0,"MEDAG","NM_032849","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,5,"overlaps 5' UTR","+",19397,17919,"84935",55396,-0.0601663097733418,-0.94730394948276,0.344406037171208,1
"chr19",55874335,55874851,-0.158354286878662,0.791771434393308,98967,432345,432349,5,9,0,0,0,0,"FAM71E2","NM_001145402","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,7,"5' UTR","-",5107,2718,"284418",21490,-0.161441575066227,-2.57097891720273,0.0107253211669594,1
"chr4",83674602,83674694,0.263617581367829,0.790852744103487,140264,113753,113755,3,7,0,0,0,0,"SCD5","NM_001037582","inside intron","inside",45316,"inside intron",44764,1,4,"inside transcription region","-",104171,100490,"79966",51257,0.168391680694644,2.68482181271724,0.00774624302250127,1
"chr2",231280878,231281474,0.158118087550328,0.79059043775164,113362,74334,74338,5,9,0,0,0,0,"SP100","NM_001080391","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,16,"5' UTR","+",53779,29556,"6672",45698,0.310044753095643,5.12530052891605,5.98006835382963e-07,0.00387927034112928
"chr13",112903015,112903693,-0.157976678258312,0.789883391291562,55536,324240,324244,5,8,0,0,0,0,"SPACA7","NM_145248","upstream","upstream",126958,NA,NA,NA,7,NA,"+",58358,58163,"122258",6285,0.502639214186865,9.13780140011508,2.34858197008293e-17,1.52352512399279e-13
"chr4",3416370,3417431,0.15791288558117,0.78956442790585,136564,105784,105788,5,15,0,0,0,0,"RGS12","NM_002926","covers exon(s)","inside",1414,"covers exon(s)",0,3,12,"5' UTR","+",15369,12245,"6002",41959,-0.450593916410562,-7.93257419099991,7.3650317827751e-14,4.77769611748621e-10
"chr1",78511235,78511600,-0.112744330259835,0.789210311818842,9257,22056,22062,7,12,0,0,0,0,"GIPC2","NM_001304725","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,6,"5' UTR","+",91523,89648,"54810",35038,0.276523846666185,4.52224919093694,9.48776886095601e-06,0.0615471566010216
"chr10",50746568,50746729,0.26302156964485,0.789064708934551,23044,247269,247271,3,11,0,0,0,0,"ERCC6","NM_000124","inside intron","inside",440,"inside intron",278,1,21,"5' UTR","-",84643,74149,"2074",13230,0.699609014189197,15.3881323253016,5.76648519199928e-38,3.74071894404993e-34
"chr22",45596948,45596980,0.157683302009728,0.78841651004864,123346,454769,454773,5,7,0,0,0,0,"KIAA0930","NM_001009880","inside intron","inside",39670,"inside intron",-1031,8,10,"inside transcription region","-",48527,43527,"23313",16208,-0.33923285131136,-5.66753369495989,4.0104991477362e-08,0.000260161079713648
"chr4",1363008,1363708,-0.157529840617027,0.787649203085135,136074,104455,104459,5,10,0,0,0,0,"UVSSA","NM_020894","inside intron","inside",3143,"inside intron",-2788,1,7,"5' UTR","+",21972,10538,"57654",40585,-0.059852592754932,-0.94234674625112,0.346932195200746,1
"chr19",15530606,15530870,0.196878231784859,0.787512927139434,93984,418730,418733,4,17,0,0,0,0,"AKAP8L","NM_001291478","promoter","promoter",773,NA,NA,NA,14,NA,"-",38974,38801,"26993",19987,0.0657109074654641,1.03496484148502,0.3016934697117,1
"chr11",107992005,107992076,0.196688037117428,0.786752148469711,38444,285145,285148,4,12,0,0,0,0,"ACAT1","NM_000019","promoter","promoter",182,NA,NA,NA,6,NA,"+",15408,14516,"38",26350,0.0200282060878731,0.314831116662414,0.753154606386652,1
"chr12",12509705,12509725,0.393163566940235,0.786327133880471,42411,294045,294046,2,13,0,0,0,0,"LOH12CR1","NM_001300742","promoter","promoter",295,NA,NA,NA,4,NA,"+",109818,108324,"118426",5919,0.575220287028959,11.0517267688231,2.37736522996418e-23,1.54219682467776e-19
"chr22",50524374,50524691,-0.196510937130796,0.786043748523183,123910,455949,455952,4,12,0,0,0,0,"MLC1","NM_015166","promoter","promoter",16,NA,NA,NA,12,NA,"-",26538,23319,"23209",15803,-0.462197315197949,-8.19146200173732,1.37510652774919e-14,8.92031604550898e-11
"chr11",13030309,13030567,-0.157082745206209,0.785413726031043,31687,268764,268768,5,10,0,0,0,0,"RASSF10","NM_001080521","promoter","promoter",403,NA,NA,NA,1,NA,"+",2683,1523,"644943",43998,NA,NA,NA,NA
"chr19",15311886,15312233,-0.156870535763622,0.784352678818112,93944,418612,418616,5,8,0,0,0,0,"NOTCH3","NM_000435","promoter","promoter",94,NA,NA,NA,33,NA,"-",41348,40243,"4854",30475,0.0324666748949533,0.510522986589709,0.610139225975751,1
"chr10",23463706,23464518,-0.156779678907128,0.783898394535638,21468,244074,244078,5,12,0,0,0,0,"PTF1A","NM_178161","upstream","upstream",16942,NA,NA,NA,2,NA,"+",1721,1375,"256297",17992,0.0195064455593058,0.306626197405093,0.759385193394216,1
"chr8",23261967,23262648,-0.1959267484069,0.7837069936276,181095,214766,214769,4,13,0,0,0,0,"ENTPD4","NM_001128930","inside intron","inside",52596,"inside intron",-18408,13,13,"inside transcription region","-",71802,63969,"9583",60217,0.553832931436661,10.453851718813,1.97753111191184e-21,1.28282443229721e-17
"chr6",29911334,29911558,0.130563107026564,0.783378642159386,157885,153951,153956,6,27,0,0,0,0,"HLA-J","NR_024240","inside intron","inside",54229,"inside intron",-53109,3,5,"inside transcription region","+",120628,120290,"3137",23817,NA,NA,NA,NA
"chr1",212588580,212589072,0.261106488841558,0.783319466524675,16792,39366,39368,3,14,0,0,0,0,"TMEM206","NM_001198862","promoter","promoter",313,NA,NA,NA,8,NA,"-",50451,49542,"55248",36437,-0.481682009816059,-8.63839895411297,7.08861140491421e-16,4.59838221836785e-12
"chr1",150947832,150948030,-0.156591808820714,0.782959044103569,12028,28569,28573,5,15,0,0,0,0,"CERS2","NM_013384","promoter","promoter",353,NA,NA,NA,11,NA,"-",9830,2942,"29956",22898,0.413915845437832,7.14609455221706,9.92664077877964e-12,6.43941187319435e-08
"chr5",912712,913111,-0.195640977806813,0.782563911227253,144864,123579,123582,4,7,0,0,0,0,"TRIP13","NM_001166260","inside intron","inside",19743,"inside intron",-600,10,13,"inside transcription region","+",25195,24104,"9319",59186,-0.291438125310232,-4.78816545720095,2.8963064149478e-06,0.0187883397137664
"chr15",31516111,31516481,0.156262112257674,0.78131056128837,63318,342571,342575,5,9,0,0,0,0,"LOC283710","NM_001243538","inside intron","inside",6569,"inside intron",-195,3,4,"inside transcription region","-",8079,7452,"283710",21230,NA,NA,NA,NA
"chr16",51183363,51183988,-0.194788098834643,0.779152395338574,73785,366655,366658,4,31,0,0,0,0,"SALL1","NM_001127892","inside intron","inside",1195,"inside intron",1088,1,3,"5' UTR","-",14160,4818,"6299",42821,0.519636330970138,9.55857327244085,1.24081568958081e-18,8.04917137831074e-15
"chr7",96631089,96631902,-0.155598975490857,0.777994877454285,173647,197512,197516,5,15,0,0,0,0,"DLX6","NM_005222","upstream","upstream",3388,NA,NA,NA,3,NA,"+",5062,4069,"1750",11485,0.118817890355147,1.88069243206476,0.0611855612005891,1
"chr11",66104468,66104485,-0.259312995206266,0.777938985618797,35464,278267,278269,3,13,0,0,0,0,"RIN1","NM_004292","promoter","promoter",157,NA,NA,NA,9,NA,"-",4769,3552,"9610",60295,0.643346934118349,13.2070585141377,1.63225660634306e-30,1.05884486053474e-26
"chr4",156875136,156875661,0.129577175104144,0.777463050624864,143056,119577,119582,6,11,0,0,0,0,"CTSO","NM_001334","promoter","promoter",88,NA,NA,NA,8,NA,"-",29778,27811,"1519",9730,0.597501343720918,11.7107451369694,1.66148671343673e-25,1.0778064310064e-21
"chr11",61334859,61335269,-0.155474639525809,0.777373197629047,34460,275083,275087,5,7,0,0,0,0,"SYT7","NM_001252065","inside intron","inside",13075,"inside intron",-11179,2,10,"inside transcription region","-",67156,62193,"9066",57854,-0.372252421153112,-6.30342343057204,1.32194760881096e-09,8.57547413835669e-06
"chr15",68127656,68128261,-0.155061350696282,0.775306753481409,66113,348694,348698,5,8,0,0,0,0,"SKOR1","NM_001031807","downstream","downstream",15614,NA,NA,NA,15,NA,"+",14132,14132,"390598",27083,0.435720778640512,7.60807395555097,5.77845626847387e-13,3.748484581359e-09
"chr12",46776356,46776425,-0.258343632289024,0.775030896867073,43893,297113,297115,3,8,0,0,0,0,"SLC38A2","NM_018976","upstream","upstream",9711,NA,NA,NA,16,NA,"-",14674,10182,"54407",34306,-0.147894805369872,-2.35019417270238,0.0195479482268875,1
"chr7",27292145,27292614,-0.193634677371773,0.774538709487093,169515,188921,188924,4,8,0,0,0,0,"EVX1","NM_001304519","downstream","downstream",9981,NA,NA,NA,3,NA,"+",4028,3394,"2128",13391,-0.269198909258656,-4.3929608612683,1.65776410462728e-05,0.107539157467172
"chr6",32135715,32135803,-0.154795998159622,0.77397999079811,158457,160313,160317,5,83,0,0,0,0,"EGFL8","NM_030652","inside exon","inside",3333,"inside exon",0,9,9,"overlaps 3'UTR","+",3931,1790,"80864",52381,NA,NA,NA,NA
"chr5",72530105,72530472,-0.154781174051949,0.773905870259747,148194,130966,130970,5,8,0,0,0,0,"TMEM174","NM_153217","downstream","downstream",61082,NA,NA,NA,2,NA,"+",1947,921,"134288",7669,-0.125216170349482,-1.98353805978177,0.0484101894230679,1
"chr8",16859754,16860121,-0.154723773596078,0.773618867980388,180499,213473,213477,5,12,0,0,0,0,"FGF20","NM_019851","promoter","promoter",80,NA,NA,NA,3,NA,"-",9340,8960,"26281",19510,0.00527387285251131,0.0828865706673018,0.93400859339004,1
"chr1",68512539,68512971,-0.110481610252114,0.773371271764799,8944,21350,21356,7,10,0,0,0,0,"DIRAS3","NM_004675","inside exon","inside",3510,"inside exon",0,2,2,"inside transcription region","-",4836,689,"9077",57904,-0.510181539476755,-9.3226861425012,6.49981273920331e-18,4.21642852392118e-14
"chr5",3596996,3597760,-0.15458081445519,0.772904072275949,145435,125408,125412,5,10,0,0,0,0,"IRX1","NM_024337","inside intron","inside",828,"inside intron",-500,1,4,"inside transcription region","+",5349,4934,"79192",49957,0.33154577591956,5.52303873556467,8.4003816352367e-08,0.000544932756677805
"chr5",138861832,138862441,0.128590896315986,0.771545377895916,151394,137706,137711,6,9,0,0,0,0,"TMEM173","NM_001301738","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,2,8,"5' UTR","-",7230,5443,"340061",24667,-0.368155167797259,-6.22309572123979,2.06266436666956e-09,1.33805037465855e-05
"chr10",121578384,121578846,-0.192615605441225,0.770462421764898,27838,257882,257885,4,7,0,0,0,0,"INPP5F","NM_001243194","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,6,"5' UTR","+",9893,8296,"22876",14702,0.528543730314626,9.78520120954581,2.48499775785482e-19,1.61201804552042e-15
"chr11",34535085,34535396,-0.110039070794241,0.770273495559689,32814,271494,271500,7,14,0,0,0,0,"ELF5","NM_001243080","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,3,"5' UTR","-",22203,12332,"2001",12553,-0.667541041655157,-14.090265061636,1.61435344603589e-33,1.04723108044348e-29
"chr6",166260964,166261046,-0.384968572935175,0.769937145870349,165872,178682,178683,2,9,0,0,0,0,"LINC00473","NR_026860","downstream","downstream",140481,NA,NA,NA,2,NA,"-",63991,320,"90632",57839,0.555688666443835,10.5044901033486,1.36450522580973e-21,8.85154539982774e-18
"chr17",7452464,7453377,0.192456339231349,0.769825356925394,79308,380527,380530,4,10,0,0,0,0,"TNFSF12","NM_003809","covers exon(s)","inside",89,"covers exon(s)",0,1,7,"overlaps 5' UTR","+",8832,8196,"8742",56545,0.359695572387991,6.05856085459602,5.0683202928226e-09,3.28781937395402e-05
"chr2",74669349,74669516,-0.153787938786322,0.768939693931612,104925,56785,56789,5,13,0,0,0,0,"RTKN","NM_001015055","promoter","promoter",289,NA,NA,NA,12,NA,"-",16072,15573,"6242",42610,-0.70551162718249,-15.6455643700975,7.53521015505596e-39,4.8880908275848e-35
"chr1",156610966,156611194,-0.256046781744502,0.768140345233505,12952,31194,31196,3,8,0,0,0,0,"BCAN","NM_021948","promoter","promoter",546,NA,NA,NA,8,NA,"+",11524,6911,"63827",43027,-0.754330651434197,-18.05838962261,4.19589543753828e-47,2.72187737033108e-43
"chr3",45837170,45837197,-0.383892310165107,0.767784620330215,126858,84546,84547,2,13,0,0,0,0,"SLC6A20","NM_020208","inside intron","inside",838,"inside intron",593,1,10,"inside transcription region","-",41094,37441,"54716",34856,0.235717603192269,3.81200926906359,0.000173961435662842,1
"chr3",52479069,52479108,-0.191744185986526,0.766976743946105,127791,87109,87112,4,8,0,0,0,0,"SEMA3G","NM_020163","promoter","promoter",26,NA,NA,NA,16,NA,"-",11775,9424,"56920",39082,0.173905941139917,2.77543778157826,0.00593278658531798,1
"chr6",99291343,99291677,-0.191675929294867,0.766703717179467,162104,170836,170839,4,16,0,0,0,0,"POU3F2","NM_005604","downstream","downstream",8763,NA,NA,NA,1,NA,"+",4086,1331,"5454",34619,-0.568203926129191,-10.8520576916014,1.05052580866988e-22,6.81476092084151e-19
"chr17",48278927,48279080,-0.127719840884095,0.766319045304572,84125,392787,392792,6,9,0,0,0,0,"COL1A1","NM_000088","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,51,"5' UTR","-",17543,16011,"1277",6960,-0.246472087766464,-3.9969182858402,8.46776307649582e-05,0.549303790772284
"chr6",106441441,106441618,-0.153182653673645,0.765913268368227,162346,171454,171458,5,10,0,0,0,0,"PRDM1","NM_001198","upstream","upstream",92577,NA,NA,NA,7,NA,"+",23619,20932,"639",43094,0.772709450996299,19.1317735546844,9.82661107693424e-51,6.37452260560724e-47
"chr4",174447847,174448549,-0.153105434999451,0.765527174997254,143598,120683,120687,5,7,0,0,0,0,"HAND2","NM_021973","overlaps exon upstream","inside",2829,"overlaps exon upstream",0,2,2,"overlaps 3'UTR","-",3726,2012,"9464",59839,0.411957685613962,7.10535786505274,1.26886694325984e-11,8.23113986092655e-08
"chr1",231296640,231296968,-0.191367468053718,0.76546987221487,18293,42607,42610,4,17,0,0,0,0,"TRIM67","NM_001004342","promoter","promoter",1706,NA,NA,NA,10,NA,"+",58640,52470,"440730",29202,NA,NA,NA,NA
"chr11",70256556,70257059,0.191306651269556,0.765226605078223,36267,280556,280559,4,7,0,0,0,0,"CTTN","NM_001184740","inside intron","inside",11944,"inside intron",-489,5,17,"inside transcription region","+",38078,27864,"2017",12804,0.522601681700543,9.63353511115515,7.30278157419054e-19,4.7373144071774e-15
"chr16",56898622,56899113,-0.152853279429977,0.764266397149886,74147,367531,367535,5,7,0,0,0,0,"SLC12A3","NM_000339","promoter","promoter",6,NA,NA,NA,26,NA,"+",50643,48169,"6559",45235,0.321299274625219,5.33234778056432,2.18178431989568e-07,0.00141532348831633
"chr7",112120730,112120828,0.152642247815142,0.76321123907571,175043,200933,200937,5,8,0,0,0,0,"LSMEM1","NM_001134468","promoter","promoter",80,NA,NA,NA,4,NA,"+",10035,5132,"286006",21859,0.396942649408364,6.79684935917882,7.91134420388394e-11,5.13208898505951e-07
"chr7",2800436,2801248,0.190646231940826,0.762584927763303,167846,184543,184546,4,16,0,0,0,0,"GNA12","NM_001282440","inside intron","inside",82711,"inside intron",-29051,3,3,"inside transcription region","-",116218,112980,"2768",20805,-0.0579254628005901,-0.911901271056348,0.362706249589787,1
"chr15",68118521,68119293,-0.190602807188864,0.762411228755457,66108,348668,348671,4,13,0,0,0,0,"SKOR1","NM_001031807","overlaps two exons","inside",6479,"overlaps two exons",0,5,15,"inside transcription region","+",14132,14132,"390598",27083,0.433080171845408,7.55128236423936,8.24393539955927e-13,5.3478408936941e-09
"chr4",2277576,2278261,0.152440284110133,0.762201420550666,136324,105170,105174,5,18,0,0,0,0,"ZFYVE28","NM_001172656","inside intron","inside",142109,"inside intron",-1632,8,12,"inside transcription region","-",149046,147598,"57732",40807,0.4959746166782,8.97675992384547,7.11920917257721e-17,4.61823099025084e-13
"chr12",132900464,132900938,0.152226582099217,0.761132910496086,50680,313428,313432,5,12,0,0,0,0,"GALNT9","NM_001122636","inside intron","inside",4967,"inside intron",4613,1,6,"inside transcription region","-",81912,81671,"50614",31138,0.165606526239354,2.63915252167366,0.00883783140887972,1
"chr12",58021295,58021713,-0.190231784212267,0.760927136849067,45532,301660,301663,4,9,0,0,0,0,"B4GALNT1","NM_001276468","covers exon(s)","inside",5309,"covers exon(s)",0,10,11,"inside transcription region","-",7344,5388,"2583",18297,0.149291564112202,2.37289360310247,0.0184125743003581,1
"chr7",155301734,155301917,-0.253546658400398,0.760639975201195,178018,207408,207410,3,7,0,0,0,0,"CNPY1","NM_001103176","overlaps exon upstream","inside",24622,"overlaps exon upstream",0,2,4,"5' UTR","-",32586,5969,"285888",21824,-0.239137696164183,-3.8706481882944,0.000138851486714171,0.900729594314825
"chr17",58216297,58216551,-0.253265052152101,0.759795156456302,84835,394426,394428,3,8,0,0,0,0,"CA4","NM_000717","upstream","upstream",10751,NA,NA,NA,8,NA,"+",9604,9389,"762",48762,-0.598203307858186,-11.732163203254,1.4120058594825e-25,9.159682010463e-22
"chr12",124941307,124941423,0.189940409215175,0.759761636860701,49702,311019,311022,4,9,0,0,0,0,"NCOR2","NM_001077261","inside intron","inside",61417,"inside intron",228,7,14,"inside transcription region","-",98337,75294,"9612",60317,-0.705328577482566,-15.6374852178506,8.03218399737014e-39,5.21047775909401e-35
"chr2",175197892,175198952,-0.126613633489086,0.759681800934516,110290,67714,67719,6,27,0,0,0,0,"SP9","NM_001145250","promoter","promoter",869,NA,NA,NA,2,NA,"+",2447,2447,"100131390",225,-0.603214250458877,-11.8862881449696,4.36860088887727e-26,2.83391139661468e-22
"chr2",223162666,223162881,-0.126548021820178,0.759288130921067,112979,73558,73563,6,14,0,0,0,0,"PAX3","NM_000438","inside intron","inside",834,"inside intron",368,1,4,"inside transcription region","-",5366,4510,"5077",31257,0.767669498079783,18.8264793530928,1.05022284243068e-49,6.81279557884784e-46
"chr15",53095823,53096248,-0.189799904102656,0.759199616410625,64927,346259,346262,4,17,0,0,0,0,"ONECUT1","NM_004498","upstream","upstream",13614,NA,NA,NA,2,NA,"-",33049,32329,"3175",23932,0.16682069623421,2.659053696103,0.00834619827910918,1
"chr15",45671148,45671347,0.126505998868539,0.759035993211232,64479,345302,345307,6,18,0,0,0,0,NA,NA,"inside exon","inside",250,"inside exon",0,1,1,"inside transcription region","+",1423,341,"145663",8723,NA,NA,NA,NA
"chr19",39826668,39826927,0.126466929398147,0.758801576388885,96019,424356,424361,6,8,0,0,0,0,"GMFG","NM_001301008","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,7,"5' UTR","-",7727,7499,"9535",60069,-0.351156184586077,-5.89421450481741,1.22341141777045e-08,7.93626986707693e-05
"chr5",501863,502436,0.126438141430645,0.75862884858387,144739,123220,123225,6,8,0,0,0,0,"SLC9A3","NM_001284351","inside intron","inside",22113,"inside intron",-9676,2,17,"inside transcription region","-",51215,50943,"6550",45212,-0.335203631274333,-5.59163892745297,5.92378067182571e-08,0.000384275652181334
"chr1",2461820,2462364,-0.108331436045493,0.758320052318449,855,2647,2653,7,12,0,0,0,0,"HES5","NM_001010926","promoter","promoter",136,NA,NA,NA,3,NA,"-",1500,695,"388585",26741,-0.120282307368761,-1.90420992903126,0.0580401146206996,1
"chr11",108408907,108408981,0.151658200046322,0.758291000231612,38471,285252,285256,5,8,0,0,0,0,"EXPH5","NM_001144763","inside intron","inside",55393,"inside intron",769,3,6,"inside transcription region","-",88216,83999,"23086",15365,0.57837839228904,11.1427796646547,1.20378452159144e-23,7.80895019156369e-20
"chr12",52627272,52627576,-0.189491617225092,0.75796646890037,44622,298963,298966,4,11,0,0,0,0,"KRT7","NM_005556","overlaps exon downstream","inside",318,"overlaps exon downstream",0,1,9,"inside transcription region","+",15755,15463,"3855",26492,0.820339820869116,22.5444747395551,5.5845577717499e-62,3.62270262653416e-58
"chr17",78878051,78878579,-0.189468160881694,0.757872643526776,87369,400794,400797,4,7,0,0,0,0,"RPTOR","NM_001163034","inside intron","inside",359426,"inside intron",4031,17,30,"inside transcription region","+",421548,418700,"57521",40221,0.124866922909577,1.97791791211183,0.0490449085217534,1
"chr17",28803808,28803927,0.252452307945223,0.757356923835669,81342,385435,385437,3,9,0,0,0,0,"GOSR1","NM_001007024","promoter","promoter",499,NA,NA,NA,4,NA,"+",7854,7429,"9527",60037,0.528687870263788,9.78890479864635,2.42021961223761e-19,1.56999646245854e-15
"chr11",65198023,65198137,0.3786176323692,0.757235264738401,35231,277445,277446,2,7,0,0,0,0,"FRMD8","NM_001300832","downstream","downstream",43982,NA,NA,NA,11,NA,"+",26954,24323,"83786",53575,0.0391115142120017,0.615156381258576,0.539015501215908,1
"chr1",153607617,153608350,0.189142483518397,0.756569934073589,12403,29543,29546,4,20,0,0,0,0,"CHTOP","NM_001206612","inside intron","inside",1159,"inside intron",697,2,4,"5' UTR","+",12324,8486,"26097",19152,0.717608259283534,16.1937656504944,9.89381247888512e-41,6.41811615505278e-37
"chr10",21804624,21804965,-0.377850881089325,0.75570176217865,21354,243776,243777,2,7,0,0,0,0,"SKIDA1","NM_207371","inside exon","inside",9646,"inside exon",0,4,4,"inside transcription region","-",12202,2726,"387640",26587,-0.257577264323586,-4.18950808463951,3.88914477771004e-05,0.25228882173005
